,lat,long,temp,humidity,wind,clouds,city_name,city_id,city_country_code
87,-33.64,115.35,67.33,100,23.31,56,Busselton,2075265,AU
88,-33.59,26.89,68.5,92,7.99,24,Port Alfred,964432,ZA
89,-9.8,-139.03,81.01,100,14.92,24,Atuona,4020109,PF
90,-0.74,-90.35,89.6,55,19.46,75,Puerto Ayora,3652764,EC
91,38.52,-28.7,64.4,82,11.41,40,Ribeira Grande,3372707,PT
92,-35.02,117.88,62.83,78,14.7,32,Albany,2077963,AU
93,-41.87,-73.83,56.08,94,13.8,92,Ancud,3899695,CL
94,-7.93,-14.42,79.89,100,10.67,56,Georgetown,2411397,SH
95,-20.41,57.7,78.8,78,11.41,75,Mahebourg,934322,MU
96,-23.12,-134.97,76.92,100,8.55,44,Rikitea,4030556,PF
97,61.6,-149.11,46.4,83,19.46,90,Palmer,5871146,US
98,69.44,-133.03,-2.21,76,6.93,20,Tuktoyaktuk,6170031,CA
99,-20.52,57.52,78.8,78,11.41,75,Souillac,933995,MU
100,-34.72,135.86,60.9,100,7.54,8,Port Lincoln,2063036,AU
101,-35.02,117.88,62.83,78,14.7,32,Albany,2077963,AU
102,-33.64,115.35,67.33,100,23.31,56,Busselton,2075265,AU
103,62.23,-6.59,44.6,100,16.11,92,Klaksvik,2618795,FO
104,-30.17,-50.22,72.91,83,10.45,68,Cidreira,3466165,BR
105,-53.16,-70.91,48.2,57,19.46,75,Punta Arenas,3874787,CL
106,-34.53,20.04,60.8,82,5.82,0,Bredasdorp,1015776,ZA
107,39.95,-94.76,60.8,40,6.93,1,Kodiak,4407665,US
108,-3.66,152.44,83.13,100,6.87,48,Namatanai,2090021,PG
109,-33.69,-53.46,69.27,100,5.41,92,Chuy,3443061,UY
110,-21.21,-159.78,77.68,100,11.79,76,Avarua,4035715,CK
111,-21.21,-159.78,77.68,100,11.79,76,Avarua,4035715,CK
112,-53.16,-70.91,48.2,57,19.46,75,Punta Arenas,3874787,CL
